TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.36717043E+02   3455.9 1.366E+02 5.177E+10 2.961E-03 1.300E-03 2.000E+05 0.000E+00 0.000E+00
 1.54576203E+02   3518.4 1.544E+02 6.599E+10 3.713E-03 1.513E-03 2.000E+05 3.373E-16 0.000E+00
 1.73445125E+02   3589.4 1.732E+02 8.511E+10 4.713E-03 1.789E-03 2.000E+05 9.429E-14 0.000E+00
 1.93073310E+02   3672.9 1.928E+02 1.116E+11 6.103E-03 2.175E-03 2.000E+05 1.323E-12 0.000E+00
 2.13094964E+02   3770.1 2.128E+02 1.478E+11 8.042E-03 2.723E-03 2.000E+05 3.740E-12 0.000E+00
 2.33290800E+02   3882.5 2.329E+02 1.963E+11 1.064E-02 3.437E-03 2.000E+05 5.080E-12 3.202E+00
 2.53663867E+02   4012.7 2.532E+02 2.586E+11 1.399E-02 4.336E-03 2.000E+05 5.279E-12 6.190E+01
 2.74607832E+02   4160.4 2.741E+02 3.323E+11 1.785E-02 5.356E-03 2.000E+05 6.287E-12 1.646E+02
 2.97150572E+02   4333.8 2.965E+02 4.148E+11 2.147E-02 6.194E-03 2.000E+05 2.148E-11 2.431E+02
 3.23194735E+02   4520.7 3.224E+02 4.957E+11 2.379E-02 6.713E-03 2.000E+05 1.794E-11 2.305E+02
 3.55846207E+02   4748.5 3.548E+02 5.770E+11 2.453E-02 6.810E-03 2.000E+05 6.784E-11 1.388E+02
 3.98590424E+02   4990.7 3.972E+02 6.660E+11 2.482E-02 6.871E-03 2.000E+05 1.368E-08 8.098E+01
 4.53696865E+02   5285.4 4.520E+02 8.312E+11 2.663E-02 7.344E-03 2.000E+05 6.796E-05 1.074E+02
 5.16584090E+02   5592.3 5.143E+02 1.218E+12 3.444E-02 9.128E-03 2.000E+05 5.779E-02 3.655E+02
 5.75001527E+02   5932.7 5.721E+02 2.119E+12 5.430E-02 1.395E-02 2.000E+05 8.118E-02 1.718E+03
 6.20816480E+02   6300.0 6.171E+02 4.036E+12 9.797E-02 2.414E-02 2.000E+05 1.167E-01 7.846E+03
 6.53070226E+02   6690.8 6.483E+02 7.845E+12 1.924E-01 4.498E-02 2.000E+05 1.666E-01 3.619E+04
 6.74288702E+02   7101.7 6.682E+02 1.494E+13 3.976E-01 8.441E-02 2.000E+05 2.377E-01 9.191E+04
 6.88097163E+02   7502.9 6.804E+02 2.632E+13 8.058E-01 1.471E-01 2.000E+05 3.370E-01 2.138E+05
 6.97214663E+02   7889.3 6.880E+02 4.270E+13 1.559E+00 1.938E-01 2.000E+05 5.461E-01 4.478E+05
 7.04446957E+02   8137.6 6.939E+02 5.653E+13 2.339E+00 1.664E-01 2.000E+05 7.645E-01 5.100E+05
 7.11328544E+02   8320.0 6.997E+02 6.843E+13 3.112E+00 1.339E-01 2.000E+05 8.446E-01 5.060E+05
 7.18518112E+02   8460.6 7.060E+02 7.863E+13 3.845E+00 1.266E-01 2.000E+05 8.826E-01 5.205E+05
PRADK 1.9875E-01
BEGIN                    ITERATION  15 COMPLETED
TEFF   3500.  GRAVITY 0.50000 LTE
TITLE SDSC GRID  [+1.0]   VTURB 2.0 KM/S    L/H 1.25
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE  10.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
