ITLE SDSC GRID  [-3.5]   VTURB 2.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE  .0003162 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
1.16183557E+04   3613.0 1.162E+04 1.528E+09 6.788E-05 3.079E-05 2.000E+05 4.055E-03 0.000E+00
1.25497805E+04   3705.1 1.255E+04 2.411E+09 1.025E-04 3.805E-05 2.000E+05 6.654E-02 0.000E+00
1.34307985E+04   3765.2 1.343E+04 3.334E+09 1.376E-04 4.355E-05 2.000E+05 1.359E-01 0.000E+00
1.43145022E+04   3822.7 1.431E+04 4.560E+09 1.833E-04 5.046E-05 2.000E+05 1.770E-01 2.873E+02
1.51845012E+04   3889.5 1.518E+04 6.517E+09 2.544E-04 6.260E-05 2.000E+05 2.079E-01 6.601E+03
1.59868437E+04   3976.4 1.599E+04 1.019E+10 3.834E-04 8.547E-05 2.000E+05 2.422E-01 2.147E+04
1.66781105E+04   4078.2 1.668E+04 1.686E+10 6.064E-04 1.231E-04 2.000E+05 2.800E-01 4.223E+04
1.72495942E+04   4194.7 1.725E+04 2.918E+10 9.945E-04 1.848E-04 2.000E+05 3.209E-01 3.806E+04
1.77090822E+04   4325.0 1.771E+04 5.213E+10 1.666E-03 2.838E-04 2.000E+05 3.648E-01 1.026E+05
1.80728113E+04   4469.5 1.807E+04 9.533E+10 2.826E-03 4.466E-04 2.000E+05 4.097E-01 9.557E+04
1.83507410E+04   4639.4 1.835E+04 1.847E+11 4.991E-03 6.830E-04 2.000E+05 4.686E-01 1.810E+05
1.85706170E+04   4790.3 1.857E+04 3.196E+11 7.943E-03 7.725E-04 2.000E+05 6.353E-01 2.240E+05
1.87680805E+04   4908.0 1.877E+04 4.797E+11 1.116E-02 7.403E-04 2.000E+05 7.525E-01 2.384E+05
1.89592809E+04   5017.9 1.896E+04 6.892E+11 1.510E-02 7.138E-04 2.000E+05 8.258E-01 2.461E+05
1.91524638E+04   5116.3 1.915E+04 9.415E+11 1.955E-02 6.972E-04 2.000E+05 8.723E-01 2.516E+05
1.93516247E+04   5217.9 1.935E+04 1.284E+12 2.525E-02 7.007E-04 2.000E+05 9.023E-01 2.556E+05
1.95599533E+04   5313.6 1.956E+04 1.702E+12 3.185E-02 6.958E-04 2.000E+05 9.224E-01 2.568E+05
1.97797123E+04   5414.8 1.978E+04 2.270E+12 4.036E-02 7.169E-04 2.000E+05 9.380E-01 2.602E+05
2.00121835E+04   5515.2 2.001E+04 2.991E+12 5.064E-02 7.221E-04 2.000E+05 9.494E-01 2.595E+05
2.02592633E+04   5619.3 2.026E+04 3.940E+12 6.358E-02 7.475E-04 2.000E+05 9.589E-01 2.623E+05
