4.94019546E+00   8586.7 1.562E+05 1.547E+15 1.398E+01 1.408E+01 2.000E+05 7.095E-01 2.644E+05
5.05601056E+00   8813.8 1.599E+05 1.990E+15 1.846E+01 1.279E+01 2.000E+05 7.933E-01 2.650E+05
5.17595593E+00   9009.3 1.637E+05 2.451E+15 2.330E+01 1.176E+01 2.000E+05 8.498E-01 2.651E+05
5.30316289E+00   9201.5 1.677E+05 2.984E+15 2.914E+01 1.104E+01 2.000E+05 8.890E-01 2.640E+05
5.44085002E+00   9376.0 1.720E+05 3.548E+15 3.548E+01 1.019E+01 2.000E+05 9.142E-01 2.595E+05
5.59227325E+00   9553.5 1.768E+05 4.206E+15 4.287E+01 9.673E+00 2.000E+05 9.337E-01 2.575E+05
5.76053586E+00   9724.2 1.821E+05 4.932E+15 5.115E+01 9.039E+00 2.000E+05 9.476E-01 2.531E+05
5.94871976E+00   9899.2 1.881E+05 5.777E+15 6.096E+01 8.531E+00 2.000E+05 9.584E-01 2.491E+05
6.16023222E+00  10069.7 1.948E+05 6.715E+15 7.205E+01 8.045E+00 2.000E+05 9.672E-01 2.463E+05
6.39814229E+00  10249.8 2.023E+05 7.829E+15 8.561E+01 7.548E+00 2.000E+05 9.737E-01 2.402E+05
6.66739530E+00  10418.3 2.108E+05 9.021E+15 1.002E+02 7.562E+00 2.000E+05 9.778E-01 2.380E+05
RADK 2.3729E+00
EGIN                    ITERATION  15 COMPLETED
