3.58761931E+00   6891.6 1.119E+02 3.966E+12 1.295E-01 1.101E+00 2.000E+05 0.000E+00 0.000E+00
3.96710176E+00   7059.3 1.234E+02 5.441E+12 1.889E-01 1.598E+00 2.000E+05 0.000E+00 0.000E+00
4.30441548E+00   7259.8 1.334E+02 7.628E+12 2.914E-01 2.445E+00 2.000E+05 0.000E+00 0.000E+00
4.58776497E+00   7496.5 1.415E+02 1.086E+13 4.752E-01 3.945E+00 2.000E+05 0.000E+00 0.000E+00
4.81379444E+00   7773.0 1.475E+02 1.557E+13 8.105E-01 6.598E+00 2.000E+05 0.000E+00 0.000E+00
4.98872229E+00   8085.8 1.515E+02 2.196E+13 1.402E+00 1.108E+01 2.000E+05 0.000E+00 0.000E+00
5.12516755E+00   8435.3 1.539E+02 2.988E+13 2.352E+00 1.791E+01 2.000E+05 0.000E+00 0.000E+00
5.23658712E+00   8824.9 1.549E+02 3.831E+13 3.636E+00 2.667E+01 2.000E+05 0.000E+00 0.000E+00
5.34175040E+00   9258.9 1.550E+02 4.525E+13 4.812E+00 3.416E+01 2.000E+05 0.000E+00 0.000E+00
5.45893540E+00   9742.4 1.546E+02 4.890E+13 5.180E+00 3.590E+01 2.000E+05 0.000E+00 0.000E+00
5.61991605E+00  10280.4 1.542E+02 4.937E+13 4.632E+00 3.171E+01 2.000E+05 0.000E+00 0.000E+00
5.87359399E+00  10881.6 1.550E+02 4.823E+13 3.683E+00 2.518E+01 2.000E+05 0.000E+00 0.000E+00
6.31387270E+00  11557.6 1.593E+02 4.721E+13 2.796E+00 1.919E+01 2.000E+05 0.000E+00 0.000E+00
7.08583918E+00  12312.5 1.709E+02 4.777E+13 2.144E+00 1.472E+01 2.000E+05 0.000E+00 0.000E+00
8.39109739E+00  13139.3 1.950E+02 5.135E+13 1.743E+00 1.194E+01 2.000E+05 0.000E+00 0.000E+00
1.04496729E+01  14044.8 2.373E+02 5.907E+13 1.528E+00 1.044E+01 2.000E+05 0.000E+00 0.000E+00
1.34792992E+01  15027.9 3.027E+02 7.147E+13 1.420E+00 9.675E+00 2.000E+05 0.000E+00 0.000E+00
1.77816952E+01  16095.2 3.984E+02 8.878E+13 1.343E+00 9.139E+00 2.000E+05 0.000E+00 0.000E+00
2.38259220E+01  17251.0 5.358E+02 1.120E+14 1.279E+00 8.695E+00 2.000E+05 0.000E+00 0.000E+00
3.22358099E+01  18502.4 7.301E+02 1.425E+14 1.234E+00 8.377E+00 2.000E+05 0.000E+00 0.000E+00
4.37656588E+01  19851.0 9.993E+02 1.820E+14 1.210E+00 8.200E+00 2.000E+05 0.000E+00 0.000E+00
5.93255617E+01  21308.8 1.364E+03 2.315E+14 1.204E+00 8.135E+00 2.000E+05 0.000E+00 0.000E+00
7.99880187E+01  22874.9 1.851E+03 2.926E+14 1.217E+00 8.027E+00 2.000E+05 0.000E+00 0.000E+00
RADK 4.8258E+00
EGIN                    ITERATION  15 COMPLETED
